"サービス","EC2 その他($)","Support (Enterprise)($)","ElastiCache($)","CloudWatch($)","Tax($)","Elastic Container Service($)","Managed Workflows for Apache Airflow($)","S3($)","DynamoDB($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","CloudSearch($)","EC2 Container Registry (ECR)($)","CloudTrail($)","Lambda($)","GuardDuty($)","WAF($)","EC2 インスタンス($)","Kinesis($)","Secrets Manager($)","Redshift($)","Config($)","Athena($)","Global Accelerator($)","Elastic MapReduce($)","Key Management Service($)","SQS($)","Kinesis Firehose($)","API Gateway($)","OpenSearch Service($)","Route 53($)","SNS($)","Cost Explorer($)","CloudWatch Events($)","Elastic File System($)","SES($)","CloudFront($)","Backup($)","Location Service($)","Step Functions($)","CloudShell($)","Glue($)","Systems Manager($)","Savings Plans for  Compute usage($)","Cognito($)","CloudFormation($)","X-Ray($)","Certificate Manager($)","Refund($)","合計コスト($)"
"2025-07-21","98.596301557","","2.496034404","48.1721425033","","16.4465450558","27.703829313","33.831834495","13.4933683523","18.2054561352","11.2734780499","16.0650031173","10.4488360334","3.2515197808","13.0822385","7.6264699639","11.5990488431","5.859650928","5.7212202625","5.6232531755","3.8855023888","0.005859972","1.872","17.375805","2.4817996405","1.39072881","1.361025768","0.9477207353","0.8272746277","0.4325813741","1.4456028029","0.1679964","0.1138459192","0.2423196774","0.000073","0.0322938024","","0.0000762655","0.0000291898","0.00003","","","0","0","0","","","","","","382.0787958436"
"2025-07-22","109.3252118872","","3.3200295784","71.3767003525","","53.397928605","34.4058234466","36.4877616164","14.8127686013","20.2656501935","16.0943445222","17.2081788667","12.0179415886","4.9408938599","15.195285","15.7028293595","14.6122129676","7.5497005106","7.3784093842","5.6288894005","5.1073423888","2.628021534","3.642","17.475445","2.8406887553","2.07078801","2.090685768","1.6020806815","1.3539331058","1.4869410513","1.4412067658","0.2533036","0.3865989925","0.2415070968","0.000624","0.0322938024","0.0001005965","0.0001012861","0.000029084","0.0000795","","","0","0","0","","","","","","502.3743307595"
"2025-07-23","100.0015957819","","3.9380265624","73.825756802","","42.3608190074","35.8810075719","36.2117473608","15.3300221743","20.7081908358","18.0649958815","17.8073304652","11.8658787723","17.4569338141","16.0658655","16.861635683","16.2372947312","7.830902328","7.540034159","5.630040059","5.5132723888","3.972203096","3.858","17.593435","2.9332707397","2.11383219","2.475735768","1.8420811286","1.4461574934","1.9715787939","1.4405821742","0.2679072","0.5072454954","0.2408558065","0.000845","0.0322938024","0.0007051982","0.0000165571","0.0000290111","0.0000495","0.0000005294","","0","0","0","0","","","","","509.8281743625"
"2025-07-24","110.5496021874","","3.9420243288","75.7559775152","","47.526853211","42.1451744461","37.1649602957","17.0743955804","20.6706923487","20.7353391587","18.5426591992","11.8666990822","19.0650456425","15.9921395","16.4841168932","17.5848478919","7.679416044","8.5852747446","5.6299254855","5.5450723888","6.187518473","4.275","17.811495","2.8477950976","2.73188943","2.986995768","1.8071821463","1.408652745","1.9788450093","1.440434382","0.2614248","0.5054324031","0.2412948387","0.000875","0.0322942242","0.0005040094","0.0000059379","0.000029016","0.00005","0.0000001765","","0","","0","","","","","","547.0579344009"
"2025-07-25","107.1970191118","","3.9420243288","73.1631794504","","39.3360124266","41.7073169067","35.3785350091","16.5228755192","20.0045517546","22.3793519668","18.5496175262","11.908427662","6.8620477451","14.668852","13.9439468156","14.5668513719","7.252767196","8.2984445547","5.627942648","4.9049723888","6.18801115","4.572","17.8113","2.7219087272","2.46891954","1.924215768","1.3824013656","1.2425161178","1.0842745793","1.4400455664","0.23966","0.2774538786","0.24192","0.000473","0.0322943352","0.0002011896","0.0000070817","0.000028966","0.00002","","","0","","0","","0","0","","","507.8423876477"
"2025-07-26","95.4770686581","","2.496034404","43.5934088488","","16.4483140413","27.1380440721","32.041984251","14.7110214126","17.7860142882","11.2973692151","15.54059895","10.2707434213","0.5262460988","12.2381075","5.6833635553","10.8716941711","5.524889412","5.3037953875","5.621573273","3.5436323888","0.0058699944","2.067","17.882275","2.3853507142","1.39048089","1.150539768","0.7476645964","0.7163527111","0.2497145283","1.4427319417","0.1577956","0.0629697038","0.2420593548","0.000007","0.0322943352","","0.000028357","0.0000290015","0.00002","","","0","","0","","","","","","364.6470868454"
"2025-07-27","97.2589296593","","2.4960338008","44.579073609","","13.093356653","27.5483376811","32.3360507288","13.4384894449","18.044973141","11.2954452658","15.6402351863","10.6500571885","0.5262440616","12.388643","6.0139561065","11.0643747686","5.610035412","5.3933185852","5.621880508","3.6408123888","0.0058699944","1.743","17.9439","2.4580776593","1.32168603","1.201197768","0.8060415596","0.7379075432","0.3396449799","1.4401128257","0.1567552","0.0863137141","0.2420490323","0.000052","0.0322943352","","0.0000204078","0.0000289867","0.00001","","","0","","0","","","","","","365.1552092254"
"2025-07-28","111.0097838339","","4.3030228912","72.5991812805","","48.1020354441","42.0884081991","36.9485879673","14.7974680118","20.5134118558","21.2117141476","18.2942313713","11.7085996302","36.8845518711","15.543207","15.9305563094","16.0563385029","7.6259770486","8.4642075641","5.629146562","5.1819223888","6.7578292644","5.067","17.291715","2.9123810238","2.48003928","2.483262768","1.6578071742","1.3794495396","1.6019867188","1.4402572954","0.2568032","0.4162427436","0.2419503226","0.000597","0.0322945683","0.000704167","0.0000038502","0.0000289678","","0.0000001765","","0","0","0","","0","","","","556.9127049399"
"2025-07-29","111.8289464961","","3.526028372","74.7213271878","","40.2008352979","36.3491088669","37.2668992768","15.2854081705","20.9741786843","15.3230424652","17.446672739","11.8997142958","13.8601590557","15.758663","16.1886629972","14.9591654813","7.8918869374","7.8128549446","5.6292634145","5.2564923888","3.1707281184","3.582","18.169005","2.9063616653","2.06287518","2.035056768","1.7649525163","1.4675078772","1.9388190583","1.4405848893","0.2608452","0.500090483","0.2417954839","0.0005585","0.0322946016","0.0004023811","0.0000095193","0.000028863","","","","0","0","0","","","","","","511.7532261765"
"2025-07-30","109.6639647685","","3.526028372","75.7106039753","","40.0347071612","36.0973173333","36.0304661252","14.7628519962","20.6272208447","15.4429668483","17.4233203316","12.053213478","21.9473503169","15.6967625","15.0774897346","15.4278370563","7.6353018712","7.3688959033","5.6283125985","5.1260823888","3.2516704104","3.501","18.285235","2.8982350536","2.09747121","2.213901768","1.6688337397","1.4228802112","1.8373864764","1.4431092246","0.2476852","0.471600554","0.2416293548","0.0005495","0.0322946016","","0.000104985","0.000028872","","","","0","0","0","","","","","","514.8943097652"
"2025-07-31","105.8522249605","","4.5650210636","75.185859593","","57.2385485728","48.1990727007","35.4026685713","15.9176944799","20.125474737","27.7629668409","19.2728639817","12.449261606","27.0941728711","13.7123665","15.5065195171","14.1185275512","7.5500842584","9.2641498969","5.6288415845","5.4587673888","9.5690885344","5.88","11.537045","2.724817932","2.67637071","2.147532768","1.6775977826","1.3537875366","1.7827314185","1.4447501917","0.2557216","0.4579093052","0.3117387097","0.0005425","0.032294757","0.000100596","0.0000607281","0.0000288385","0.00001","","","0","","0","","","","","","562.1572155837"
"2025-08-01","97.6543594331","2522.21","3.7340255965","58.1725265576","1616.89","39.2559301385","36.498310198","35.6797351124","27.0875391545","18.7144434513","16.7625681563","17.7183915954","32.7665323686","8.3971837724","14.422287","11.0660605643","13.8483865905","7.2316325464","6.6634995828","5.6263696005","4.6135523888","4.1769241624","3.519","16.227115","2.8172634459","2.13974634","1.790925768","0.8219437","1.2106621169","0.87251471","1.4400683201","4.7396352","0.052544584","0.2408564516","0.0004085","0.032294868","0.0007041607","0.0000102446","0.0000286868","","","","0","","0","","","","","-31.4","4603.6959800669"
"2025-08-02","95.7026404206","","2.4960333168","41.2461036632","","14.3528920608","27.2356161797","32.3773571936","13.0517025487","17.8226010846","11.3940251375","15.5237424697","10.5304737425","0.5309816208","12.0758755","5.3292045066","10.7963828717","5.4842714784","5.4758345208","5.62123998","3.3430523888","0.0058699944","1.596","18.572565","2.3987483625","1.40847588","1.116390768","0.6702042219","0.6875307662","0.0705096183","1.4404078914","0.144074","0.0075057161","0.2527406452","0.000006","0.0322948597","0.0001005938","0.0000366527","0.000028528","0.00002","","","0","","0","","","","","","358.793540183"
"2025-08-03","96.7220480692","","2.4960333168","43.4514869338","","14.9849674334","27.7703307436","32.9140287375","13.0531859027","17.9271220217","11.3952162403","15.5423830427","10.6373428615","0.5309816208","12.803335","5.8422716475","11.3641770994","5.7102596784","5.6376610863","5.6217319","3.6453573888","0.0058699944","1.95","18.6318","2.417939514","1.38162609","1.207317768","0.8029865525","0.7936815268","0.3784468999","1.4405157288","0.1523104","0.054930969","0.2429045161","0.0000805","0.032294868","","0.0000321962","0.0000282238","0.0000595","","","0","","0","","","","","","367.5427459719"
"2025-08-04","109.523128126","","3.3200290951","68.081672455","","37.790370926","33.2824062709","36.4191539833","13.0719416027","20.3515201237","14.5467956854","17.0739416498","11.6956969859","10.4070281682","15.3540685","13.0804944041","15.1650893865","7.4652518038","7.2907840776","5.6284600455","5.0915373888","2.5912241624","3.549","18.735005","2.8797161573","1.94698986","2.100195768","1.5758270817","1.3246729085","1.5088162628","1.4404681239","0.24831","0.2136161569","0.2437251613","0.000651","0.032294868","0.0009063923","0.0000487706","0.0000279839","0.00004","","","0","0","0","","","","","","483.0309063359"
"2025-08-05","110.1849239768","","3.8370248419","72.9120763566","","43.0198820197","39.226577376","35.4679033656","13.0788196742","20.5289504433","21.0573835527","17.7261657335","11.6487465582","16.8277136638","11.0771445","15.3454989432","10.8488900475","7.5661531944","7.9961099315","5.629417978","5.4697823888","4.7631445784","3.828","1.56672","2.8353673412","2.20841808","2.175141768","1.7527792921","1.3690580179","1.9017939631","1.4408256044","0.284288","0.3242093419","0.2436409677","0.0007065","0.0322944839","0.0005029736","0.0000009938","0.0000277137","0.00002","","","0","0","0","","0","","","","494.1761041654"
"2025-08-06","106.2272408381","","3.6290266827","73.7463595046","","35.5786878671","36.0462872859","34.3803713462","13.07940524","20.6833576918","16.012355821","17.3964772218","11.9469146908","4.9520117689","10.611111","15.7185997773","9.9517598142","7.450952515","7.3093078302","5.6299714525","5.4377423888","3.7180477024","3.603","0.0024","2.8169989388","1.99199559","2.165547768","1.7905273181","1.3205937192","1.8415523336","1.4405655148","0.3087716","0.4769236293","0.2436245161","0.0006585","0.0322947336","0.0003017851","0.0000066877","0.0000275311","0.0000895","","","0","0","0","","","","","","457.5418681047"
"2025-08-07","91.7361386702","","3.6300263654","74.2870454951","","39.5302702317","38.2111974853","35.162003217","13.0842286909","20.5030118268","16.4889354268","17.5833589278","12.0478319288","10.4882875785","11.055018","9.1674048303","10.5211072122","7.5364820784","7.7983788574","5.6300580975","5.6548423888","4.0275998924","3.687","0.0024","2.7066462847","2.24862006","2.229171768","1.8926412703","1.3579182245","2.1388347263","1.4407429727","0.318874","0.5536966497","0.2434129032","0.000669","0.0322955091","0.0003017845","0.0000051065","0.0000273148","0.0000495","","","0","","0","","","","","","452.9965342756"
"2025-08-08","89.4776627694","","4.1500243038","71.0975817576","","52.5456516542","44.4687525481","33.8991268363","13.1060760227","19.8336508215","22.7759801527","18.5707131309","11.9709782463","14.4984003379","10.051807","9.1705460024","9.7971949581","7.2299563944","8.5520038659","5.62873832","5.2240223888","7.6581372864","4.941","0.0024","2.5787473749","2.56355871","1.955304768","1.5211921787","1.2267431835","1.2547634348","1.4402020481","0.299416","0.3292600957","0.2436512903","0.0004385","0.0322957968","0.0003017852","0.0000096506","0.0000272225","0.00005","","","0","","0","","","","","","478.0963668365"
"2025-08-09","80.135343766","","2.4960336336","43.4276037799","","18.3387925397","26.9341306855","30.8871129947","13.1466206207","17.9110923754","11.389669676","15.7636644924","10.649725282","0.535374336","7.155187","4.2778904164","5.360281621","5.4303242784","5.6801908299","5.621766902","3.4550423888","0.0058699944","1.56","0.0024","2.3496955275","1.45739157","1.095630768","0.7158794753","0.6663939288","0.0939829304","1.4403104511","0.178226","0.0223887087","0.2440345161","0.00001","0.0322957968","","0.0000168572","0.0000271915","0.00002","","","0","","0","","","","","","318.4604213342"
"2025-08-10","79.9294427863","","2.4960336336","44.1304330923","","17.9482108373","27.3908130424","31.3615186964","13.1194486595","17.8896914152","11.3917203331","15.585230491","10.3433179887","0.535374336","7.267165","4.2415651221","5.4257301553","5.4426632784","5.6982850563","5.62157925","3.3903573888","0.0058699944","1.338","0.0024","2.3656975793","1.41709872","1.127433768","0.6875856793","0.6667937281","0.0594441159","1.4403794318","0.1699084","0.0134903353","0.2435409677","0.0000155","0.0322957968","","0.0000104446","0.0000271815","0.00002","","","0","","0","","","","","","318.7785922054"
"2025-08-11","81.2348163248","","2.4960336336","45.6177582468","","22.9555636513","27.5078149065","32.1862520419","13.1286910075","18.0719167891","11.3927127905","16.2083698864","10.6192618506","3.2641499138","7.7124045","4.6260779925","5.9155609508","5.6045924784","5.6193656898","5.6223285895","3.6757223888","0.0058699944","1.578","0.0024","2.3953171683","1.41847089","1.190724768","0.8055535588","0.7115290262","0.2486749428","1.4404652215","0.2010128","0.0663875866","0.2427803226","0.0000195","0.0322957968","","0.0000229693","0.0000271698","0.00001","","","0","0","0","","","","","","333.7989553477"
"2025-08-12","90.016515767","","3.9950238352","64.3528705874","","49.4699148155","58.1154509283","35.3525136884","13.5443236008","19.7375601913","21.0872055951","19.2429090769","11.3902296415","9.5279211911","9.2639645","7.8628788066","10.1776885329","6.6569102784","8.1035835247","5.626093433","4.8938223888","6.2088533304","5.133","0.0024","2.6722887248","2.38901445","2.219091768","1.2798145942","1.044199333","0.956214028","1.4403060614","0.2671692","0.2494477634","0.2427393548","0.0003645","0.032296059","0.0001005957","0.0000030314","0.0000271411","","","","0","0","0","","","","","","472.5547103181"
"2025-08-13","88.5683391162","","5.2930181165","61.7954429174","","84.0631322153","55.9979285357","34.1770044758","13.2011962124","19.4632765229","26.7582672726","19.9195754137","11.1609199671","11.9861989131","9.4245585","7.5415594572","9.8247827004","6.5453055084","8.1551496078","5.625152937","5.0657723888","13.8646091624","4.899","0.0025","2.6165855045","2.55792261","1.938957768","1.2968535615","0.9852363964","1.242941527","1.4402040433","0.2562548","0.3195977407","0.24318","0.0003285","0.0322961756","0.0003017859","0.0000027377","0.0000269892","","","","0","0","0","","0","","","","516.2633800805"
